,Dataset,Variance,SE_Variance,N_Samples
0,oh_montzka,5.474427201457163,2.4482382720664306,11
1,oh_turner,6.310890826033174,1.4874912328053431,37
2,oh_rigby,9.915092932868793,2.4047632617666608,35
3,GFED,31.04296821283625,10.071668839206769,20
4,EDGAR,47.90557098388672,11.13781901910251,38
5,WetCHARTs_WetCHARTs_Ens_1,34.37760297027158,3.6338255477563233,180
6,WetCHARTs_WetCHARTs_Ens_2,25.851408233958274,2.7325787597020943,180
7,WetCHARTs_WetCHARTs_Ens_3,37.799527574694714,3.995534217811119,180
8,WetCHARTs_WetCHARTs_Ens_4,32.142213105434955,3.397537496868559,180
9,WetCHARTs_WetCHARTs_Ens_5,44.29314708258926,4.681931128194939,180
10,WetCHARTs_WetCHARTs_Ens_6,36.02291063428448,3.80773997188239,180
11,WetCHARTs_WetCHARTs_Ens_7,61.11573861381612,6.46013430712235,180
12,WetCHARTs_WetCHARTs_Ens_8,45.95805908259252,4.857917795025949,180
13,WetCHARTs_WetCHARTs_Ens_9,67.19916013279058,7.10317194277532,180
14,WetCHARTs_WetCHARTs_Ens_10,57.14171218743989,6.040066661099657,180
15,WetCHARTs_WetCHARTs_Ens_11,78.7433725912698,8.323433116791003,180
16,WetCHARTs_WetCHARTs_Ens_12,64.04073001650572,6.769315505568691,180
17,WetCHARTs_WetCHARTs_Ens_13,95.49334158408763,10.093959854878666,180
18,WetCHARTs_WetCHARTs_Ens_14,71.80946731655082,7.590496554728046,180
19,WetCHARTs_WetCHARTs_Ens_15,104.99868770748533,11.098706160586442,180
20,WetCHARTs_WetCHARTs_Ens_16,89.28392529287486,9.437604157968217,180
21,WetCHARTs_WetCHARTs_Ens_17,123.03651967385909,13.005364244985945,180
22,WetCHARTs_WetCHARTs_Ens_18,100.06364065079019,10.57705547745108,180
23,WetCHARTs_Annual_WetCHARTs_Ens_1,5.906114423811694,2.2323014257281826,15
24,WetCHARTs_Annual_WetCHARTs_Ens_2,9.75948526494356,3.688738705005711,15
25,WetCHARTs_Annual_WetCHARTs_Ens_3,12.57691988610098,4.753628896829427,15
26,WetCHARTs_Annual_WetCHARTs_Ens_4,15.929334759825862,6.020722617885147,15
27,WetCHARTs_Annual_WetCHARTs_Ens_5,17.38679946409672,6.57159249676443,15
28,WetCHARTs_Annual_WetCHARTs_Ens_6,19.58400340529958,7.402057526494967,15
29,WetCHARTs_Annual_WetCHARTs_Ens_7,10.499758975665227,3.9685358679612106,15
30,WetCHARTs_Annual_WetCHARTs_Ens_8,17.35019602656636,6.557757697787942,15
31,WetCHARTs_Annual_WetCHARTs_Ens_9,22.35896868640172,8.45089581658564,15
32,WetCHARTs_Annual_WetCHARTs_Ens_10,28.31881735080155,10.703506876240267,15
33,WetCHARTs_Annual_WetCHARTs_Ens_11,30.90986571394972,11.682831105358986,15
34,WetCHARTs_Annual_WetCHARTs_Ens_12,34.816006053865905,13.15921338043549,15
35,WetCHARTs_Annual_WetCHARTs_Ens_13,16.40587339947692,6.200837293689393,15
36,WetCHARTs_Annual_WetCHARTs_Ens_14,27.10968129150991,10.24649640279365,15
37,WetCHARTs_Annual_WetCHARTs_Ens_15,34.93588857250269,13.204524713415061,15
38,WetCHARTs_Annual_WetCHARTs_Ens_16,44.24815211062737,16.7242294941254,15
39,WetCHARTs_Annual_WetCHARTs_Ens_17,48.296665178046474,18.25442360212343,15
40,WetCHARTs_Annual_WetCHARTs_Ens_18,54.40000945916552,20.56127090693047,15
41,WetCHIMP_Bern,760.1218038369494,89.89388901407399,144
42,WetCHIMP_CLM4Me,279.1436584871577,33.012221105039885,144
43,WetCHIMP_DLEM,195.85959518778137,23.162841301587758,144
44,WetCHIMP_Orchidee,563.3201116554146,66.61963298636014,144
45,WetCHIMP_VIC,47.04906174494168,5.564138685887951,144
46,WetCHIMP_WSL,65.69050069765571,7.768721472250659,144
47,WetCHIMP_Annual_Bern,273.8208809181738,116.75761592975792,12
48,WetCHIMP_Annual_CLM4Me,56.0842167483032,23.914390373963133,12
49,WetCHIMP_Annual_DLEM,121.72365292082021,51.90314000028113,12
50,WetCHIMP_Annual_Orchidee,227.63307409158244,97.06306892511024,12
51,WetCHIMP_Annual_VIC,19.145078197719396,8.16348877287591,12
52,WetCHIMP_Annual_WSL,25.31905152461917,10.796079844986835,12
